text,label
https://linktr.ee/nestrun,ham
also here is our linktree where we have a link to our pictures,ham
https://forms.gle/HYVfy6reUvkjZiVz8,ham
"If you're interested in being a leader for NEST this year, we'd love to have you. Sign up and fill out the form here to get involved:",ham
it’s the same as last time,ham
can someone post the route for today or is it the same as last time?,ham
In myers,ham
Are there drinking fountains to fill up my water bottle near the Myers Quad?,ham
😐,ham
"RUN THIS WEEKEND! Saturday Meyers quad @10 am, come at 9:30 for T-shirts and chat.",ham
They ain’t out yet David,ham
Nah,ham
"if anyone ever can’t find a ride, just tell me in advance I’m parked in south deck 🫡",ham
😂,ham
Yeah ngl that alarm was not alarming in the morning,ham
😭😭 next time Bo,ham
also coming up this week i’ll make a google form for those interested in becoming involved in leadership at our club,ham
"thank yall for coming!! I had a blast. Can’t wait for next week our run is same time saturday @10, and come @9:30 to chat.",ham
Wya,ham
Bruh my ride bailed on me,ham
"here’s the route, if your driving you can park at myers quad, south campus parking or scili",ham
Errr,ham
https://www.instagram.com/nestrunclub/,ham
our insta for more updates:,ham
"Hey yall our first run is this saturday @10 at myers quad, excited to see yall there!",ham
around 10-10:15 am,ham
LETS GOO,ham
Right after the run.. maybe 10:15.. Earlier we run the quicker we water balloon🤝,ham
Not a big runner,ham
What time is balloons,ham
Water balloons!,ham
Reminder to pop out tmr!,ham
myers quad?,ham
"We will also have our last run this saturday after the 5k at 9:30, then a water ballon fight right after to kick off the summer hope to see yall there!",ham
"big 5k this weekend saturday @8am, sign up is the link",ham
https://athenstwilight.com/twilight-run/,ham
"Aww, I wanted to know how to make an easy 7k 😔😔",ham
hopefully yall aren’t dumb enough to fall for it lmao,ham
"Hey yall, don’t pay attention to Marcs story or recent post, his IG was hacked",ham
yes it’s at the park n ride @ 9,ham
Hey Guys I’m looking to sell my Megan Moroney tickets for Jun14• Sat• 8:00PM • 2025•At Jacobs Pavillon at Nautica•Cleveland•Ohio•USA 🇺🇸 whoever is interested in the tickets shd hmu,ham
Nvm forget i asked a question,ham
Is there another run tomorrow?,ham
Sounds good,ham
"it’s next to gilbert hall, it’s the red marked location",ham
Where’s the fountain relative to the chapel?,ham
oh ya we are meeting at the fountain not the chapel,ham
I parked in N04,ham
I think you may still have to pay for north deck until like really late,ham
W01 or North campus deck im pretty sure,ham
is there parking that’s open after 5 near there?,ham
we will have a pop up run today at 5:30 @ north campus chapel,ham
Remember to sign up for our run at Athens Fleet feet this saturday morning @9!!,ham
https://lu.ma/7pzxy7sr?tk=NAV5vu,ham
Can yall wait like 5 mins? Sorry im running a lil late,ham
come out @10 myers quad,ham
The shirt will be super cute 🙂‍↕️,ham
While we’re promoting 5Ks 😁 u should run Dawg Jog!! https://runsignup.com/Race/GA/Athens/UGAPreVetDawgJog,ham
click the link 🤫,ham
Insans,ham
Tryna sell me MacBooks cars now a 5k,ham
So many bots in these groupmes nowadays,ham
https://lu.ma/7pzxy7sr?fbclid=PAZXh0bgNhZW0CMTEAAaZtVYGKV5xxk60KD5pBdGRswYQiyuHOf7VJ4zA07wCknFmiBS38P7wrrnI_aem_daDaKzEXAKlTwYxHmNug4g,ham
link to sign up for our 5k on march 29th,ham
if any of yall have videos of yall running during this break send it to nestrunclub insta we’ll love to post a collage,ham
"Nvm, found em!",ham
"Hey, if you guys happen to see any random golden dorm keys, please let me know.",ham
parking in North campus parking lot and W01,ham
come @ 10 to north campus chapel,ham
Thank God cause I just had to buy one and a tear slid down my face,ham
I love running so much! Running is fun,ham
Hope yall having a great day,ham
Hey guys!,ham
🫡,ham
CELSIUS N VIBES 😍,ham
RUN SATURDAY IS 10 AM AT THE CHAPEL,ham
😭,ham
Not again.,ham
……..,ham
"Hey everyone I know this doesn't align here but lost my son to cancer about a week ago, he was a strong kid and fought a good fight but God knows best I bought him a play station 5 unfortunately he never got chance to see it. I’m willing to give it out the ps5 out for free because seeing the game hurts my soul send a dm on my cell number +13317163460 or send a text on carlamary222.a@gmail.com if you want the gaming system",spam
I think that was Marc’s..?,ham
if you left your water bottle in the kitchen after volunteering this morning lmk,ham
ya it was posted on the insta and on our calendar post,ham
Wait we had a run today???,ham
I’ll be there late❤️,ham
NEST yall should be there!!,ham
IF YOU WANT TO SERVE THIS WEEKEND WITH US FOR BACKPACK PROJECT TO HELP THE HOMELESS ANSWER THE BEST POLL,ham
This guy isn’t representative of the Daniels out there 👀,ham
Get out of here Daniel,ham
"I want to give out my MacBook Air 2020 & Charger** for free, it's in perfect health and good as new, alongside a charger so it's perfect, I want to give it out because I just got a new model and I thought of giving out the old one to someone who can't afford one and is in dire need of it... Strictly First come first serve ! Dm IF YOU ARE INTERESTED +1 424-644-1464",spam
I missed the picture 😔,ham
I ❤️ Nest Run Club,ham
we’re here to stay and we’re here to be a movement like no other in Athens,ham
Nest WE LOVE YOU!!!,ham
You're invited to the group 'UGA Bhakti Yoga Club🧘' on GroupMe. Click here to join: https://groupme.com/join_group/88650175/w2S0zE5u,ham
come to myers quad!!,ham
Oliver what else do you have on sale,ham
i’m so interested!,ham
oliver!,ham
we’ve worked hard on this one you don’t want to miss it,ham
BE THERE‼️,ham
"RUN IS TOMORROW, 10 AM, MYERS QUAD",ham
REMINDER,ham
It takes around 20 mins to finish the run,ham
Typical paces are usually 9:00 10:00 and 11:00 minutes.. And the route is about 2.7 miles,ham
What are the typical paces and route lengths?,ham
exited to see yall there!,ham
WE WILL BE AT MYERS QUAD @10 AM SATURDAY OG ROUTE,ham
Look out for details on the insta story!,ham
It’ll be Myers Quad this time,ham
Where?,ham
Yes this saturday at 10am,ham
is there a nest run this week?,ham
They are in literally every gc,ham
NOOO THEY INFILTRATED THE RUN CLUB,ham
ella get some friends,ham
I’m giving away my Kendrick lamer and sza concert tickets and my Tyler the creator tickets Text me if you’re interested (848) 317-9892,spam
CHECK OUT THE LATEST REEL - https://www.instagram.com/reel/DFYE8f4ubZ4/?igsh=MTFhaWVmNXBqaXFwZg==,ham
Is it in good health?,ham
2018 Kia optima S For Sale $2300 Perfect condition no problems at all Just need some space I had bought a new car. HMU@ (786) 887-2518,spam
"our next run is Sunday, 4 PM at Taichi Bubble Tea downtown! Check the Instagram for more information",ham
"as well, they are having a 10 week transformation challenge that earns you $5 store credit for every pound of muscle gained or percent of body fat dropped!",ham
"Hey Nest, We have our newest sponsor Supreme Nutrition! 15% off anything under 30 dollars",ham
https://supremenutritionusa.com/pages/transformation-challenge,ham
https://strava.app.link/aKgUyVCmfQb follow the strava group!,ham
such an amazing run today ❤️,ham
NEST WE ARE SO GRATEFUL FOR YOU ALL!,ham
who’s grey sweat pants are in my box,ham
Yes,ham
I had to miss first run but can I go to next one?,ham
Yes,ham
so north campus…?,ham
waittt,ham
we are at the chapel,ham
ramsey,ham
"for all interested, bodybuilding club has invited us to lift with them at 5:30 tonight at eamsey",ham
5 pm,ham
herty field,ham
we doing friday,ham
😿,ham
we don’t need two ct people in this gc,ham
This guy goes to UConn not UGA,ham
??,ham
CT x UGA LMAO,ham
So this one?,ham
I'm gonna eventually pop out to one of these,ham
Created new poll 'Would yall prefer to pop out for NEST run on Saturday or Friday??',ham
Where’s the penn state guy,ham
pu with your dog!,ham
cheers bo,ham
i’m pu w my service dog so i’ll just walk w my friends!!,ham
Victory pu to the 9/10 min pace group,ham
2.5 miles,ham
we do not have a walking group,ham
3 miles roughly,ham
hm do yall run,ham
do you lot still have a walking group,ham
"Yes, Nest this Saturday at 10 am!",ham
Is there NEST this weekend?,ham
"for anyone interested, a fun way to meet someone new and we j launched it this morning!",ham
http://uga.marriagepact.com,ham
WILL BE POSTPONED,ham
NO RUN TONORROW,ham
is there a run tomorrow?,ham
ecv quad,ham
BE AT THR QUAD BY 9:45,ham
IF YOU ARE IN ECV,ham
NEST,ham
snowball fight today???,ham
Sledding on the greenway would also go crazy,ham
‼️,ham
😈😈,ham
NEST SNOWBALL FIGHT SATURDAY??,ham
Is anyone doing the classic city half or full marathon?,ham
And it’s 10:00 now right?,ham
yessir,ham
Is this upcoming Saturday the first run back?,ham
We know you don’t like Connecticut anyway,ham
UConn 😭,ham
yo 😭,ham
Fuck it😭,ham
Shit pu anyway,ham
Bro why am I here,ham
We go to uga 😭,ham
It’s UGA,ham
No 😭😭,ham
No,ham
Is this a UConn group 😭?,ham
Bro how did I end up in here 😭,ham
so excited for what we have in store for you all this year,ham
NEST 2025,ham
https://www.instagram.com/p/DEahQepSWNw/?igsh=MXQ1NnYxZjhva2tseg==,ham
Merry Christmas!,ham
fine… i didn’t want it to be like this but you gave me no choice,ham
10,ham
YOU GOT 1 minute,ham
CORTNEY,ham
Don’t bargain with it,ham
Kendal igu,ham
Marc p our savior !!!!!!,ham
@Cortney Lima,ham
😈,ham
gimme one good reason i shouldn’t remove yoy,ham
Lmaooooo,ham
yo courtney,ham
Cortney Lima,ham
Who,ham
MARC KICK IT,ham
WHAT IN THE WOLRD ARE YALL TALKING ABOUT,ham
AY,ham
what is run club even about😅,ham
Lmaooo bruh I'm laughing so hard at this,ham
Go eat your Indian street food @Cortney Lima outside your call center,ham
if you don’t get your ai generated ahh out of this gc before i delete ur code😭🫵🫵,ham
Yep,ham
Machine learning at its finest 👏,ham
older.,ham
"@Kendal You got hit with a your mom joke, that’s pretty brutal",ham
Guess I’m Batman now,ham
@Marc P PLEASEEEEEEEEE,ham
I hate Courtney,ham
"It’s a bot man, just stop responding",ham
I am dying here,ham
Late for school we’re on break? What are you on about?,ham
Hahaha I am not a boy funny,ham
I'm on Jude's side,ham
That was unwarranted,ham
Bro . . .,ham
Bruh just stop,ham
Because nobody put a spell check in your program?,ham
Bro can’t even spell loser,ham
I'm tryna Sleep,ham
All of you shut the fuck up,ham
English please?,ham
Not interested,ham
Wild response,ham
My parents are dead actually. Thanks for reminding me.,ham
“I’m not a bot!” - 🤖,ham
Can we just remove the bot please,ham
We from ga bro,ham
Not interested,ham
Bro nobody gives a fuck,ham
FYI no one here goes to Louisville,ham
Bruh...,ham
what is bud rambling on about,ham
My wife’s grandma just passed away and I’m selling her toys. Barely used! Dm me now!!?,ham
Don't care uninterested,ham
I think Courtney might be selling a Louisville ticket,ham
How many times do we have to tell you old man,ham
Not interested,ham
Not interested,ham
Like at all,ham
Not interested,ham
Not interested,ham
Reasonable response,ham
Like at all,ham
Not interested,ham
For them,ham
I will pay a lot of money,ham
Yo who has tickets to the ian concert in Athens ga,ham
Not interested,ham
