text,label
Sadly not this time around but feel free to let text us regarding any questions with future trips,ham
will u guys be at the engagement fair?,ham
"Everyone is welcome on the hike, even if you just joined!",ham
If there even was a meeting,ham
I never been,ham
So i couldnt make the meeting but I really wanna go on a hike,ham
Hey y’all we’re excited to be back and see new faces. To kick off the semester we’ll be doing a day hike of the UGA botanical gardens on the 31st! Keep an eye out for the signup tomorrow at 7pm! �,ham
Y'ALL--very exciting news! I'm so excited to announce the OAC trips for this semester! check it out here or on instagram @ugaoutdooradventure,ham
"Hey, is anyone driving from Gainesville to Athens? I’d be happy to chip in for gas if carpooling works!",ham
Hey everyone! 🏕️🏕️🏕️I am excited to let y'all know that we will be releasing this semester's trip schedule next week so be on the lookout for that in this groupme as well as the OAC instagram account!!￼,ham
"Hey y’all, on September 9 REI and North Face are having an outdoor festival. It’s from 9-4 and across from the Arch. A lot of environmental/outdoor groups will be there both from UGA and Athens. Good spot to get free samples/some minor gear.",ham
Oh no I totally appreciate it!,ham
lol sorry guys i just didn’t want anyone to lose money,ham
Uh huh,ham
That’s so bad,ham
Why will you go ahead saying this without having any encounter with me,ham
i’ll buy it for 1000 vietnamese dong,ham
Personally I just enjoy trolling them,ham
We know lmaooo,ham
scammer!,ham
"Uh sorry Bennett, but I saw it first so Imma need that permit",ham
Im interested!,ham
Hey Owen! The schedule will be released around the beginning of fall semester!,ham
Is there a date for a (tentative) semester trip schedule to be released?,ham
"I’m looking to sell my Parking Permit for the South Campus, Please do text me if you’re interested (678-271-6316)",spam
Scam^,ham
"I’m selling my parking pass for the summer, message me if you’re interested please 🙏",ham
first person here gets the last slice of pizza and a mystery prize!!,ham
Come now to north campus! We are starting early!,ham
"Hey everyone! thanks for being flexible! Since creature is closed today, we’ll be having our final gathering on NORTH CAMPUS. We’ll have drinks, snacks, games, and activities. Feel free to bring your own along with a picnic blanket. Attire is whatever you want (formal or casual or even PJs!) Please like this message if you plan on coming so we know how much food to bring :)",ham
Refunds will be issued for anyone who has already bought a ticket to prom.,ham
"Hi all! Thank you to everyone who signed up for our prom, unfortunately, we can no longer host this event at Cine due to insufficient ticket sales. Alternatively, we will be having a final gathering at Creature Comforts at the same time! Tomorrow 8-10 PM! Come in your prom attire 💃 🕺",ham
We are continuing this! All tickets will now be $7! Get yours and tell your friends!!,ham
@Kristie Okimoto 8:00pm!,ham
Do we know what time Prom is?,ham
The perfect reading day eve activity,ham
