text,label
lauren created event '1st SFPA Meeting!',ham
Just got confirmation that we will be in Dawson 208!,ham
We’ll send room number as soon as we get confirmation!,ham
FYI: Applications to Vanguard’s C2C Advice internship and FADP program are now open! FADP link: https://www.vanguardjobs.com/job/22354022/financial-advisor-development-program-charlotte-nc/?source=Google_Jobs C2C link: https://www.vanguardjobs.com/job/22354021/college-to-corporate-internship-advice-charlotte-nc/?source=Google_Jobs,ham
What room in Dawson?,ham
Hi everyone! It was so great to see so many of you last night at the Engagement Fair! Our first meeting of the year will be next Tuesday (9/2) at 6 pm in Dawson Hall! We are so excited to see everyone there and be on the lookout for more information!,ham
"Hey guys! Tonight is the engagement fair from 7-10 PM, and we can't wait to see you there. Come see SFPA at table 115 to hear more about what we do, who we are, and how you can be more involved! There might be some candy to sweeten the deal :)",ham
"For anyone looking for a full time position, Financial Consultants Group (fee only RIA in Cumming, GA) is looking for an associate. Email Sandee@ForYourFuture.net if you are interested",ham
It’s up to you as long as you keep it professional,ham
Btw should we email with personal or uga email,ham
updated!,ham
Do you have the application link by any chance or a contact email?,ham
"Opportunities at SignatureFD While there aren't currently any Level 2 positions available, the Client Care role is an excellent entry point into the firm! Contact Email: ariadna.diaz@signaturefd.com",ham
Amazing opportunity!!! Definitely consider applying! ^^,ham
"^ UGA is sending 4 students to the Schwab IMPACT conference in Denver. If you are interested, please fill out the interest form by May 15th.",ham
https://forms.gle/GAjMrVCVReX5b4M58,ham
Congratulations to everyone graduating this week!! Welcome to the elite club of UGA Financial Planning alum!,ham
come to my party tn @ 142 hunters run road lol,ham
Moderna Wealth is currently hiring for a financial planning associate if anyone is interested,ham
https://job-boards.greenhouse.io/moderawealthmanagement/jobs/4673511008,ham
"I want to share with you Vanguard Business Development EXPLORE Day, this is an opportunity for University of Georgia students to discover their career path and internship opportunities at Vanguard. Please share with your student network. This virtual program is open to all freshman and sophomores, all majors are welcome. Vanguard Business EXPLORE Day Date: Wednesday, June 18, 2025 Time: 1-4:30pm ET Deadline to register: Wednesday, May 28th, 2025 Register Now: https://olivia.paradox.ai/co/Vanguard5/Event/VirtualBusinessDev What you’ll gain: Insight & Inspiration: Learn from our crew members about their unique journeys that led them to our organization. Direction: Introduction to our full-time programs and internships in areas such as, business leadership, client services, corporate finance & accounting, financial advice, and investment management Professional development: Participate in professional development activities that will set the stage for a meaningful career",ham
Please like this message if you would like to commute together to the FPA Symposium from Athens!,ham
Registration for the banquet closes tonight @ midnight tell your friends,ham
"If you're feeling nervous or unsure about attending the banquet, I highly recommend attending tonight's meeting! 🙌🙌",ham
'Banquet Prep @SFPA' is starting in 2 hours,ham
"If you can’t make it and are registered for the banquet, dm me if you have a seating preference (ex. If there’s an employer you want to sit by to network with)",ham
"Super casual meeting today, just gonna be giving a rundown of what to expect this Friday at the banquet",ham
'Banquet Prep @SFPA' is starting in 1 day,ham
"Hello everyone! I just wanted to remind everyone that next Tuesday (4/22) will be our last meeting of the year! We will be doing a FP Banquet preparation session that will consist of networking advice, and just a rundown of what to expect at the banquet. Casual dress and dinner will be provided!",ham
Alondra Gonzalez created event 'Banquet Prep @SFPA',ham
Heres the addy! 10 Huntington rd,ham
We have a few more spots open if anyone would like to go to Rush tonight! Also please arrive 15 minutes early if possible.,ham
"If you signed up for the Rush Social and do not plan to attend, please message me and let me know! The reservation number for this event needs to be very specific, so we need to let them know beforehand if attendance numbers differ. Thank you!",ham
