text,label
"I’ve got 2 Texas tickets available, letting them go at a lower price. HMU if you’re interested.",spam
Selling Texas tickets at an affordable price!  Hit me up if you’re interested,spam
I’m selling my 2 Marshall tickets to the Georgia game dm if you’re interested please,spam
Looking to sell my student ticket for all games at cheap price HMU if you’re interested,spam
"Giving away Tate McRae  tickets for free, lmk if anyone is interested in it. +1 (346) 803-6168",spam
Selling my full season ticket @cheap price send me a direct message if you’re looking to buy or send me a text +17542365970 serious buyer ! I can also sell single ticket too,spam
Looking to sell my Marshall tickets at cheap price,spam
"I’m selling my season tickets to all home games, dm me if you’re interested please 🙏",spam
I'm giving away my full student season tickets for all home games. Lmk if interested +1 908-536-7052,spam
Looking to sell my Texas tickets at affordable price hmu if interested,spam
"Giving away Tate McRae tickets for free, lmk if anyone is interested in it. (508) 239-9914",spam
Selling 2 Georgia tickets to the Alabama game,spam
I’m selling my season student tickets to all home games and also selling them individually at a reasonable and affordable price Dm if you’re interested,spam
Selling my full season ticket package for all home games at an affordable price! DM me if you’re interested,spam
Selling out Alabama game tickets kindly send a dm if still searching thank you 🙏 !!,spam
"Hello y’all
I’m selling my full season season tickets at affordable and reasonable price
Text me if interested.
(302) 899-3327.
Thank you…",spam
"Hello Everyone, I'm giving away my home full student season tickets... Hmu if interested +1-727-204-3225",spam
selling my full student season ticket for all home games I can also sell individually at affordable prices!Dm if you’re interested pls,spam
"Hello y’all
I’m selling my season season tickets at affordable and reasonable price
Text me if interested.
(302) 899-3327.
Thank you…",spam
"I’m selling 4 FSU tickets, please dm me if you’re interested in buying.",spam
"Hello everyone, I’m selling my full season football tickets package at cheap price hmu if you interested in buying",spam
"Givingaway my season ticket 
HMU if interested 4096975569",spam
Selling 2 Bama tickets to the uga game dm if you’re interested (609) 237-9583),spam
"Selling my Texas tickets, ready to transfer right away. Discount available. DM if interested",spam
I’m selling 2 Alabama tickets dm me if you’re interested,spam
Cheap 4x New Mexico and 2x Texas tickets HMU now if interested,spam
"I’m selling out my full season tickets to all home games for cheaper price,Lmk if you’re interested",spam
"I'm selling my student season pass and can also sell individually at a cheap price, dm if you're interested 828-510-9024",spam
I'm selling 2 alabama tickets dm me if you're interested,spam
"Hey guys,I’m giving away Tate McRae tickets free,my schedule for that day got so tight,lmk if anyone is interested in it. +1 (762) 688-1709",spam
"If anyone is looking for a job, I have a remote opportunity available that pays $30 per hour.  If you're interested, please send me a message with your email address / WhatsApp number for more information. I don't check Nextdoor often. WhatsApp: ‪+1 (539) 235‑9620‬",spam
Selling Texas tickets at an affordable price!  Send me a DM if you’re interested,spam
"Selling my season tickets for cheaper prices also selling individually,Lmk if you’re interested",spam
I'm selling my season ticket and also selling individual tickets for those games.(945) 347-9992,spam
Selling my black package dm if you’re interested,spam
Selling out season  pass tickets to all home games at discount prices also opened for negotiations !!,spam
"I’m selling my football season ticket for all home games HMU if you are interested
6783839183",spam
"I'm selling my football season pass and can also sell individually at a cheap price, dm if you're interested 828-510-9024",spam
I’m selling my black package ticket dm me if you’re interested,spam
Selling my season tickets at affordable price hmu if interested,spam
"Hello I’m selling 2 LSU Non student tickets, Dm me if you’re interested please",spam
Hello everyone I’m selling my parking pass (534) 253-4529,spam
"Giving away Tate McRae tickets for free, lmk if anyone is interested in it.(480)249-6889",spam
Selling my south deck parking pass for a whole year hmu if interested  4096975569,spam
I'm selling my full student season ticket for all home games at affordable price. Kindly Dm if you’re looking to buy please,spam
"Hi guys, please I'm selling my full season tickets to all all games for an affordable price hmu you willing to buy",spam
"I’m selling my student season pass tickets for all home games, Dm me if you’re interested🙏🙏",spam
Giving my student season ticket.Anyone interested in it should send a direct message to claim it….. +1 (346) 803-6168,spam
