text,label
https://supremenutritionusa.com/pages/transformation-challenge,ham
"I'm selling my SEC Championship ticket because I can't make it to the game, and I want to make sure it goes to someone who will enjoy it! Let me know if you're interested or know anyone who might be.209-390-4626 Call me or text",spam
Is there anyone in here that has taken FHCE 7200 and has a quizlet or good study materials?,ham
lauren created event '1st SFPA Meeting!',ham
Got 2 SEC tix for cheap price hmu if interested,spam
Huge thanks to everyone who came out tonight!,ham
"Giving away my Kendrick Lamar tickets for free, lmk if anyone wants it 5014946047",spam
Selling 2 Georgia tickets to the Alabama game,spam
NVIDIA to the moon 🚀,ham
I’m selling 3 sugar bowl tickets dm if you are interested in it please 🙏 (209-393-4918),spam
"If you're feeling nervous or unsure about attending the banquet, I highly recommend attending tonight's meeting! 🙌🙌",ham
if anyone knows how to stop the bots please tell me i’m desperate,ham
Late for school we’re on break? What are you on about?,ham
https://finservfoundation.org/application,ham
"Giving away Megan Moroney tickets for free, lmk if anyone is interested in it.2676062610",spam
Hi everyone and happy last day of class! Here is a remote opportunity for any juniors and seniors still looking for an internship,ham
"Selling my season tickets for cheaper price,lmk if youre interested",spam
Selling out my basketball tickets and also my grad tix let me know if you need any,spam
Giving away my Kendrick Lamar and sza concert ticket message me if you’re interested in it +1 (404) 834-2231.,spam
"Selling my season tickets for cheaper prices also selling individually,Lmk if you’re interested",spam
Selling my parking permit !!,spam
our insta for more updates:,ham
Selling my South Campus Parking Permit…. Please text if you’re interested on here (936) 323-2780,spam
I’m selling my student season ticket package for all home games at affordable price!!! send me a Dm direct  if you’re interested TY,spam
That’s fair,ham
"And what is the group size? I’d love the opportunity to get off campus for the weekend again, but I don’t want to take the spot of someone who needs to experience the enjoyment backpacking",ham
Reminder about tomorrow's employer lunch: this is a great opportunity for FREE food and to connect with financial planning professionals!,ham
Anyone in search of SEC championship ticket ? Send Dm (209) 390-4626,spam
Nah I think it will,ham
we will have a pop up run today at 5:30 @ north campus chapel,ham
Where is this being held?,ham
Hey y’all we’re excited to be back and see new faces. To kick off the semester we’ll be doing a day hike of the UGA botanical gardens on the 31st! Keep an eye out for the signup tomorrow at 7pm! �,ham
"Hey guys I’m working on marketing for a small hotel in Houma, La and I need to boost its Google rankings which currently are 3.9 stars. If you have time could you leave a 5 star review for it on Google?",ham
??,ham
I got for sale 3 Gata jam tickets please let me know if you’re interested,spam
"I’m selling my SEC championship tickets at affordable price,dm if you’re interested (757) 757-4712",spam
i don’t take classes,ham
Not a big runner,ham
I’m selling 1 sugar bowl tickets dm if you’re interested in it please 🙏,spam
"Selling my Notre dame and sugar bowl ticket Hmu if you're interested! 
            +1 617-431-2231",spam
Awesome! Excited to be there,ham
ATH HALF,ham
Anyone interested in buying my south campus deck parking permit for next quarter should text me please. 8623842594,spam
Hi,ham
"Hey, does anyone have a investment planning and/or retirement planning textbooks they are willing to sell? ￼",ham
"as well, they are having a 10 week transformation challenge that earns you $5 store credit for every pound of muscle gained or percent of body fat dropped!",ham
Created new poll '$50 white water rafting April 6th!!',ham
I’m selling 3 sugar bowl tickets for cheap price dm if you are interested in it please 🙏,spam
I prefer the wider range of flexibility and opportunity from options,ham
'Blue Vault @SFPA' is starting now,ham
is there a nest run this week?,ham
"I’m selling out my student season ticket to all home games at affordable price,Lmk if you’re interested",spam
I’m selling my Billie eilish tickets for November concert text me if you are interested +1 334-218-3580,spam
also coming up this week i’ll make a google form for those interested in becoming involved in leadership at our club,ham
Don’t bargain with it,ham
Anyone interested in using my North campus deck parking permit for next quarter should text me please. 8623842594,spam
"it’s next to gilbert hall, it’s the red marked location",ham
"Hello y’all
I’m selling my full season season tickets at affordable and reasonable price
Text me if interested.
(302) 899-3327.
Thank you…",spam
Who do you think is going to win?,ham
"I am giving away my Kendrick Lamar with SZA tickets to tonight’s show for free, message me if you are interested.",spam
I’m selling my 2 Marshall tickets to the Georgia game dm if you’re interested please,spam
"I’m giving away my Kendrick Lamar and sza concert tickets and my Tyler the creator tickets 
Text me if you’re interested 
(848) 317-9892",spam
Selling out my season pass tickets passes to all home games let me know if ur interested !,spam
😳,ham
yea as soon as it’s up i’m taking profits,ham
"Got 2 Atlanta Hawks tickets for cheaper price dm if needed 

Mrh50676@uga.edu",spam
It’s that time of the year yall 🏀 our member @David McAlister made an SFPA March Madness Bracket challenge. Winner will get a free t-shirt. Hope to see some interesting sleepers,ham
ya it was posted on the insta and on our calendar post,ham
need it to consolidate before buying,ham
I’m selling 2 sec championship tickets for cheap price dm if you are interested in it please 🙏,spam
That was unwarranted,ham
I am,ham
Selling hockey tickets for the Penn state game. Dm with offer,spam
Selling extra grad tickets dm if you’re interested,spam
Yeah,ham
"Hello y’all
I’m selling my season season tickets at affordable and reasonable price
Text me if interested.
(302) 899-3327.
Thank you…",spam
AY,ham
hey y’all! please take a minute and fill out this interest form for UGA to build beach volleyball courts on campus! super outdoor-related,ham
Hello everyone I’m selling my season student tickets for affordable price kindly Dm if you are interested in buying,spam
Looking to sell my East Campus deck parking permit…8623842594,spam
"Hi guys, I’m looking to sell my full season tickets. Message me if interested (302) 899-3327.",spam
I’m selling my season student tickets to all home games and also selling them individually at a reasonable and affordable price Dm if you’re interested,spam
English please?,ham
"I’m selling my parking permit HMU 🤙 if interested please 🙏 
If you are really serious",spam
I’m selling 3 Georgia basketball tickets to the bama game dm if you’re interested in it please 🙏,spam
He’s asking about btc ETFs not ETFs in general,ham
"Giving away Tate McRae  tickets for free, lmk if anyone is interested in it. +1 (346) 803-6168",spam
I’m selling 3 Notre Dame tickets for low price hmu if interested 209-390-4626,spam
Y'ALL--very exciting news! I'm so excited to announce the OAC trips for this semester! check it out here or on instagram @ugaoutdooradventure,ham
……..,ham
Selling my Kendrick Lamar & SZA Grand National Tour ticket! Great seat with an amazing view — DM if you’re interested!,spam
Robinhood screwed me over with the timing of my money wire I’m still upset abt it,ham
"Is there anyone that is interested buying my 3 SEC championship tickets should hmu if needed 

Mrh50676@uga.edu",spam
W01 or North campus deck im pretty sure,ham
"Sandy Creek Trail Run is RESCHEDULED for Sunday, February 23 due to weather conditions. Please let us know if you have any questions or concerns!",ham
"Hey y’all, on September 9 REI and North Face are having an outdoor festival. It’s from 9-4 and across from the Arch. A lot of environmental/outdoor groups will be there both from UGA and Athens. Good spot to get free samples/some minor gear.",ham
"I want to share with you Vanguard Business Development EXPLORE Day, this is an opportunity for University of Georgia students to discover their career path and internship opportunities at Vanguard. Please share with your student network. This virtual program is open to all freshman and sophomores, all majors are welcome. Vanguard Business EXPLORE Day Date: Wednesday, June 18, 2025 Time: 1-4:30pm ET Deadline to register: Wednesday, May 28th, 2025 Register Now: https://olivia.paradox.ai/co/Vanguard5/Event/VirtualBusinessDev What you’ll gain: Insight & Inspiration: Learn from our crew members about their unique journeys that led them to our organization. Direction: Introduction to our full-time programs and internships in areas such as, business leadership, client services, corporate finance & accounting, financial advice, and investment management Professional development: Participate in professional development activities that will set the stage for a meaningful career",ham
I used to be a degen options trader ik what he doing,ham
