text,label
"Hey guys! Tonight is the engagement fair from 7-10 PM, and we can't wait to see you there. Come see SFPA at table 115 to hear more about what we do, who we are, and how you can be more involved! There might be some candy to sweeten the deal :)",regular
"For anyone looking for a full time position, Financial Consultants Group (fee only RIA in Cumming, GA) is looking for an associate. Email Sandee@ForYourFuture.net if you are interested",regular
It’s up to you as long as you keep it professional,regular
Btw should we email with personal or uga email,regular
updated!,regular
Do you have the application link by any chance or a contact email?,regular
"Opportunities at SignatureFD
While there aren't currently any Level 2 positions available, the Client Care role is an excellent entry point into the firm!
Contact Email: ariadna.diaz@signaturefd.com",regular
Amazing opportunity!!! Definitely consider applying! ^^,regular
"^ UGA is sending 4 students to the Schwab IMPACT conference in Denver. If you are interested, please fill out the interest form by May 15th.",regular
https://forms.gle/GAjMrVCVReX5b4M58,regular
Congratulations to everyone graduating this week!! Welcome to the elite club of UGA Financial Planning alum!,regular
come to my party tn @ 142 hunters run road lol,regular
Moderna Wealth is currently hiring for a financial planning associate if anyone is interested,regular
https://job-boards.greenhouse.io/moderawealthmanagement/jobs/4673511008,regular
"I want to share with you Vanguard Business Development EXPLORE Day, this is an opportunity for University of Georgia students to discover their career path and internship opportunities at Vanguard. Please share with your student network.
This virtual program is open to all freshman and sophomores, all majors are welcome.
Vanguard Business EXPLORE Day
Date: Wednesday, June 18, 2025
Time: 1-4:30pm ET
Deadline to register: Wednesday, May 28th,  2025
Register Now: https://olivia.paradox.ai/co/Vanguard5/Event/VirtualBusinessDev
What you’ll gain:
Insight & Inspiration: Learn from our crew members about their unique journeys that led them to our organization.
Direction: Introduction to our full-time programs and internships in areas such as, business leadership, client services, corporate finance & accounting, financial advice, and investment management
Professional development: Participate in professional development activities that will set the stage for a meaningful career",regular
Please like this message if you would like to commute together to the FPA Symposium from Athens!,regular
Registration for the banquet closes tonight @ midnight tell your friends,regular
"If you're feeling nervous or unsure about attending the banquet, I highly recommend attending tonight's meeting! 🙌🙌",regular
'Banquet Prep @SFPA' is starting in 2 hours,regular
"If you can’t make it and are registered for the banquet, dm me if you have a seating preference (ex. If there’s an employer you want to sit by to network with)",regular
"Super casual meeting today, just gonna be giving a rundown of what to expect this Friday at the banquet",regular
'Banquet Prep @SFPA' is starting in 1 day,regular
"Hello everyone! I just wanted to remind everyone that next Tuesday (4/22) will be our last meeting of the year! We will be doing a FP Banquet preparation session that will consist of networking advice, and just a rundown of what to expect at the banquet. Casual dress and dinner will be provided!",regular
Alondra Gonzalez created event 'Banquet Prep @SFPA',regular
Heres the addy! 10 Huntington rd,regular
We have a few more spots open if anyone would like to go to Rush tonight! Also please arrive 15 minutes early if possible.,regular
"If you signed up for the Rush Social and do not plan to attend, please message me and let me know! The reservation number for this event needs to be very specific, so we need to let them know beforehand if attendance numbers differ. Thank you!",regular
"Hello everyone! SFPA is hosting a trampoline social at Rush Athens this Thursday, April 17th at 6pm, and we are covering admission for the first 20 people that sign up. Use this link to RSVP, if we have more people sign up than we can accommodate, we will be creating a waitlist. 
https://docs.google.com/forms/d/e/1FAIpQLSegXXM9sbe9rW-JBNtgONmQUyS-6YdYPpc5cea5fNCEMdGBmQ/viewform",regular
'Blue Vault @SFPA' is starting now,regular
"https://teams.microsoft.com/l/meetup-join/19%3ameeting_MzU2YzliZjMtZGM0YS00NjJjLTgyMzktZWUzMjYwMzUyZTQ5%40thread.v2/0?context=%7b%22Tid%22%3a%22a8216c1e-4d63-4352-8c3b-50fa1f1475b1%22%2c%22Oid%22%3a%22da46839d-9e29-4f54-b3b6-3fea5031e2d2%22%7d
^ Teams link for tonight’s meeting at 6pm, see you soon!",regular
'Blue Vault @SFPA' is starting in 2 hours,regular
"Megan O’Rourke, People Operations Manager at Capital Investment Advisors wants to share the following information with you all about the position:
“In this role, an Investment Associate would be working closely with a dedicated team of Advisors to partner with them and grow into the Advisor seat. Job functions include trading support, helping to conduct portfolio reviews/analyses, contributing to prospect/annual review meetings with clients, preparing materials for meetings with clients, etc. 
This is a great opportunity for any students that know they want to sit in the Investment Advisor seat one day!”",regular
'Blue Vault @SFPA' is starting in 1 day,regular
^ The FP Alumni Board wants know how they can become more active in the program and provide more value to students in financial planning. Please fill out the google form to provide your insights!,regular
https://docs.google.com/forms/d/e/1FAIpQLSd9sGW_iP8Prisdhznri9mrZijsrLzs239NySvVjakufHf-HQ/viewform,regular
"What’s up SFPA fam, I am running for President of the Graduate Student Association if you can take a second and spread the word to vote for me to any of your friends in Grad School! Or if you are in Grad school to take a look at the ballot. Thanks! 
https://uga.campuslabs.com/engage/submitter/election/start/680393",regular
"Good afternoon, 
Capital Investment Advisors, a firm based in ATL and was present for the RIA day is seeking to hire 3 Investment Advisor Associates (at least 1 from UGA). Link to apply is provided above ^",regular
